,roman_cp,probability
202,"IV,V,vi,I,IV","0.142,0.288,0.362,0.156,0.669"
203,"IV,V,vi,I,V","0.142,0.288,0.362,0.156,0.106"
204,"IV,V,vi,iii,IV","0.142,0.288,0.362,0.081,0.804"
205,"IV,V,vi,iii,V","0.142,0.288,0.362,0.081,0.055"
206,"IV,V,I,IV,V","0.142,0.288,0.283,0.273,0.711"
207,"IV,V,I,IV,I","0.142,0.288,0.283,0.273,0.113"
208,"IV,V,I,V,IV","0.142,0.288,0.283,0.195,0.477"
209,"IV,V,I,V,vi","0.142,0.288,0.283,0.195,0.293"
210,"IV,V,I,V,I","0.142,0.288,0.283,0.195,0.108"
211,"IV,V,I,vi,IV","0.142,0.288,0.283,0.169,0.793"
212,"IV,V,IV,V,IV","0.142,0.288,0.111,0.511,0.542"
213,"IV,V,IV,V,I","0.142,0.288,0.111,0.511,0.157"
214,"IV,V,IV,V,vi","0.142,0.288,0.111,0.511,0.13"
215,"IV,V,IV,V,iii","0.142,0.288,0.111,0.511,0.056"
216,"IV,V,IV,I,IV","0.142,0.288,0.111,0.204,0.587"
217,"IV,V,IV,I,V","0.142,0.288,0.111,0.204,0.162"
218,"IV,V,IV,I,&#9837;VII","0.142,0.288,0.111,0.204,0.067"
219,"IV,V,IV,iii,IV","0.142,0.288,0.111,0.071,0.375"
220,"IV,V,IV,iii,ii","0.142,0.288,0.111,0.071,0.188"
221,"IV,V,IV,iii,V","0.142,0.288,0.111,0.071,0.094"
222,"IV,V,IV,iii,vi","0.142,0.288,0.111,0.071,0.094"
223,"IV,V,IV,iii,vii&deg;/vi","0.142,0.288,0.111,0.071,0.063"
224,"IV,V,IV,iii,I","0.142,0.288,0.111,0.071,0.063"
225,"IV,V,IV,vi,V","0.142,0.288,0.111,0.052,0.467"
226,"IV,V,IV,vi,IV","0.142,0.288,0.111,0.052,0.289"
227,"IV,V,IV,vi,I<sup>6</sup>","0.142,0.288,0.111,0.052,0.067"
228,"IV,V,iii,vi,IV","0.142,0.288,0.068,0.688,0.469"
229,"IV,V,iii,vi,ii","0.142,0.288,0.068,0.688,0.298"
230,"IV,V,iii,vi,V","0.142,0.288,0.068,0.688,0.105"
